n;Tchif;Tdechif;Tsign;Tverif
291;0.662827499499872;0.6194140882000283;0.04291402960025152;0.09680178239987072
301;0.6786930241998561;0.63545045510009;0.04572696820005149;0.09727693049999289
311;0.6946356002999892;0.6514587650999601;0.04810504489987579;0.09659186799990493
321;0.7264622085997872;0.682379723699978;0.046094606399947224;0.09647611959990172
331;0.7426861687999917;0.698245008899903;0.04570006760004617;0.0969188305998614
341;0.7584519032001481;0.7143877664000684;0.04192731900011495;0.0963762201999998
351;0.7741167061998567;0.7300117047003368;0.04291828110008282;0.09716147019989876
361;0.8069274803997359;0.7619281673997648;0.04273302709989366;0.09671455190000415
371;0.8227209286000289;0.777850348800257;0.04481483559993649;0.09689241050000419
381;0.8395635462999053;0.7934329807000722;0.04545698750007432;0.09686508849999882
391;0.8542993411998395;0.8103060202998676;0.04588102620000427;0.09669097019977926
401;0.8865138234001279;0.8405164550001245;0.047307294600159366;0.09687011650003115
411;0.9017671430999143;0.8571880539999256;0.043351564599834094;0.09667831400020077
421;0.9183228001001226;0.8741340254000534;0.04314684230002967;0.0966043243999593
431;0.9352971934000379;0.8881608656000936;0.04551982759994644;0.09673425459995996
441;0.9669521662999614;0.9203119800999957;0.04616452309983288;0.09674276399991869
451;0.9821055522999813;0.9357856238999375;0.04486020729973461;0.09690269840011752
461;0.9983421257999907;0.9518274552999173;0.04350831859983373;0.09691500419985459
471;1.014946722499826;0.9683445485000448;0.042930448000061;0.09671117139996568
481;1.045156538199808;0.9997029845000724;0.04401772790006362;0.09686544420001156
491;1.0622458525000185;1.015692394099824;0.04723403960015275;0.0965772575000301
501;1.0788948897999036;1.0303266966000593;0.04468289079977694;0.0969879595999373
511;1.0949882347999846;1.0473634555002718;0.04312776310016488;0.0965177116000632
521;1.1266547897000236;1.0781390981000185;0.046427027499885296;0.09673717579998993
531;1.1419476073001533;1.094393367000066;0.04693029219988602;0.09653607050004212
541;1.1591505378000875;1.1108829454000442;0.0452661702001933;0.09639009479997185
551;1.174438755099891;1.1256830646997513;0.041563425900130825;0.09685929049983315
561;1.207474151599945;1.1584028566999223;0.0441534995999973;0.09706470700002683
571;1.2237264762999076;1.173099722599909;0.044590472399977446;0.09633782980008618
581;1.239287357899957;1.1900776303000384;0.04332302850007182;0.09687266459995954
591;1.255811537400041;1.205846354699861;0.04601954879999539;0.09653984060005313
601;1.2886745479000639;1.2369783669000753;0.044060454699956605;0.09653505480018794
611;1.3038118331000987;1.253292555400003;0.04407304560008925;0.09663810659976661
621;1.3193766441000663;1.2698495166000612;0.043881476799742816;0.0963938175000294
631;1.343121900099959;1.2906113418999667;0.04456274409994876;0.09702811399974962
641;1.3771193554998717;1.325869731400053;0.0447914478999337;0.09740821499990489
651;1.3940386018000026;1.3421319021999807;0.052641082100035416;0.09716008140003396
661;1.4090762895001716;1.3586708195997743;0.04608586350004771;0.09751682780006377
671;1.4255390102000092;1.3729760562000592;0.045080545700147925;0.0971187736000502
681;1.4564533341001151;1.4077137989999755;0.044380215200089876;0.09737071870022192
691;1.4733533880998038;1.4221936881999682;0.043889794000006074;0.09726040069999727
701;1.489010299399979;1.4364529421998669;0.04154333589995076;0.09731782099997872
711;1.5056083420001414;1.452996347899898;0.04412182690020927;0.09745325590020001
721;1.5382361956999375;1.486067008200098;0.04792211019994284;0.09720860009992975
731;1.5545667644997594;1.5015733473997899;0.04724306020007134;0.09725877500022762
741;1.569110783600081;1.5171483039999658;0.043445107899970026;0.09702585830009411
751;1.5869292066003253;1.5345899054998882;0.048063921199991456;0.09727947410010529
761;1.6193094962000032;1.5664107184002205;0.04353402659999119;0.09733264870010316
771;1.6356127572000332;1.583917864399973;0.04493489700007558;0.09717798589990707
781;1.6523098626998944;1.5986735147000217;0.04499900720002188;0.09771148419995371
