n;chiffrement;déchiffrement;signature;vérification
710;0.003280558408005163;1.1457199141033925;1.1457214350957656;0.002409197299857624
720;0.003310496496851556;1.1456735094892792;1.1455422613100381;0.002411847998155281
730;0.0033386883063940332;1.145519214606611;1.1454028610081877;0.00240110821032431
740;0.0033415269950637593;1.145436750803492;1.1453643916145666;0.0023973795905476436
750;0.0033707507129292933;1.1450785950903082;1.1451112404844026;0.0023445882950909437
760;0.0033785112056648357;1.145383084306377;1.1453739482967649;0.0023493538057664408
770;0.003398901392938569;1.1452091378072509;1.145396787498612;0.002343348687281832
780;0.0034191410144558177;1.1454082820971963;1.1453616569138831;0.0023779683018801735
790;0.0034418544033542275;1.1453123908897396;1.1453192764107372;0.0023584112961543722
800;0.003467792214360088;1.1456351726141292;1.1455484963109483;0.0023865879891673105
